work_id,ml_anomaly_score,ml_anomaly_flag,ml_risk_score
WS/MP18032/2024-2025/136942,-0.12073646464226057,False,15.225222787815254
WS/MP18032/2024-2025/136945,-0.15965723193699943,False,5.937059935143904
WS/MP18032/2024-2025/137001,-0.1346626174886974,False,11.901845975396071
WS/MP18032/2024-2025/137006,-0.09520804557950385,False,21.31739748289573
WS/MP561/2024-2025/137686,-0.14679157432314144,False,9.007357142269555
WS/MP18032/2024-2025/137732,-0.13664929546419508,False,11.427739480205465
WS/MP423/2024-2025/140565,-0.12052689157185342,False,15.275235902734984
WS/MP18032/2024-2025/143625,-0.09611847943811774,False,21.100128951642112
WS/MP416/2024-2025/145370,-0.14051020290229665,False,10.50636152348093
WS/MP552/2024-2025/154849,-0.1038768003680568,False,19.24866112946731
WS/MP552/2024-2025/154851,-0.12515341113693496,False,14.171150085615025
WS/MP18039/2025-2026/162174,-0.0531058652824693,False,31.364781803200444
WS/MP555/2025-2026/155626,-0.10236117415697937,False,19.610354488841732
WS/MP555/2025-2026/155627,-0.10356412275093829,False,19.323279407318537
WS/MP18037/2024-2025/158936,-0.03877505249423885,False,34.784727817631214
WS/MP18037/2025-2026/158959,-0.03890563509956063,False,34.753565212465446
WS/MP18037/2025-2026/159033,-0.16646078879268705,False,4.313439733247799
WS/MP18033/2025-2026/168592,0.012012479495491335,True,46.904809223879205
WS/MP18032/2025-2026/174623,0.003798036343314881,True,44.94449109439209
WS/MP18030/2025-2026/177098,-0.01061932640760821,False,41.50389055014966
WS/MP552/2025-2026/178852,-0.12117777467482738,False,15.119907303668764
WS/MP550/2025-2026/188196,-0.09851091830417502,False,20.5291905208881
WS/MP550/2025-2026/188197,-0.14294089187366527,False,9.926294978561717
WS/MP550/2025-2026/188199,-0.10182593434901416,False,19.738085642340483
WS/MP550/2025-2026/188201,-0.02671294992276474,False,37.66326235887141
WS/MP550/2025-2026/188203,-0.11153687799326906,False,17.420638369579606
WS/MP550/2025-2026/188205,-0.04386274245753746,False,33.5705869820931
WS/MP550/2025-2026/188209,-0.14897285311622188,False,8.486810553252328
WS/MP550/2025-2026/188210,-0.06330098986533533,False,28.931788211069158
WS/MP550/2025-2026/188213,-0.15625935709031563,False,6.747938474356593
WS/MP550/2025-2026/188216,-0.002494058457768955,False,43.44292765515298
WS/MP550/2025-2026/188224,-0.07034482420119342,False,27.250827506383054
WS/MP550/2025-2026/188231,-0.006304270587087157,False,42.53364777142584
WS/MP549/2025-2026/191062,-0.089270182874084,False,22.73442596507055
WS/MP18032/2025-2026/192392,-0.13026940697374662,False,12.950254255734542
WS/MP18032/2025-2026/192403,-0.1284243821034482,False,13.390556250111644
WS/MP18032/2025-2026/192405,-0.11490899769272972,False,16.61590611211649
WS/MP18037/2025-2026/192463,-0.1722083826087562,False,2.9418175611979342
WS/MP18031/2025-2026/193830,-0.12967958342799907,False,13.091011428011152
WS/MP18031/2025-2026/193897,-0.10715924720155529,False,18.465328660354075
WS/MP18031/2025-2026/194070,-0.15237875056612543,False,7.6740174771384755
WS/MP18044/2025-2026/194837,-0.14434103578867663,False,9.592160643508146
WS/MP18031/2025-2026/204824,-0.13072688064881738,False,12.841081433865698
WS/MP18039/2025-2026/205171,-0.16355303281936645,False,5.007354907414482
WS/MP555/2025-2026/208541,-0.1440470220738626,False,9.662324914511114
WS/MP18034/2025-2026/212419,-0.1595876108812267,False,5.953674502351563
WS/MP18039/2025-2026/214403,-0.12860093699034325,False,13.348422688625103
WS/MP417/2025-2026/215039,-0.16559600565004706,False,4.51981404751192
WS/MP18031/2025-2026/215501,-0.03185711019601456,False,36.435645287595285
